datahora, temperatura_C, pressão_Pa, humidade_Rel, radiação_W/m2
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-12-02 15:18:00,12.50,101.0,60.00,131.00
2021-12-02 15:48:00,12.60,101.1,60.00,36.00
2021-12-02 16:18:00,12.00,101.1,70.00,27.00
2021-12-02 16:45:00,11.30,101.1,70.00,15.00
2021-12-02 17:15:00,10.90,101.2,70.00,2.00
2021-12-02 17:45:00,10.40,101.2,80.00,0.00
2021-12-02 18:15:00,10.20,101.2,70.00,0.00
2021-12-02 18:45:00,9.80,101.3,70.00,0.00
2021-12-02 19:15:00,9.60,101.3,70.00,0.00
2021-12-02 19:45:00,9.40,101.3,80.00,0.00
2021-12-02 20:15:00,9.10,101.3,80.00,0.00
2021-12-02 20:45:00,8.80,101.4,80.00,0.00
2021-12-02 21:15:00,8.30,101.4,80.00,0.00
2021-12-02 21:45:00,8.30,101.4,80.00,0.00
2021-12-02 22:15:00,8.40,101.4,80.00,0.00
2021-12-02 22:45:00,8.40,101.4,80.00,0.00
2021-12-02 23:15:00,8.10,101.4,80.00,0.00
2021-12-02 23:45:00,7.70,101.5,80.00,0.00
2021-12-03 00:15:00,6.60,101.5,80.00,0.00
2021-12-03 00:45:00,6.50,101.5,80.00,0.00
2021-12-03 01:15:00,6.00,101.5,90.00,0.00
2021-12-03 01:45:00,5.80,101.4,90.00,0.00
2021-12-03 02:15:00,5.30,101.5,90.00,0.00
2021-12-03 02:45:00,5.50,101.5,90.00,0.00
2021-12-03 03:15:00,5.30,101.5,90.00,0.00
2021-12-03 03:45:00,5.00,101.5,90.00,0.00
2021-12-03 04:15:00,5.10,101.4,90.00,0.00
2021-12-03 04:45:00,4.70,101.4,90.00,0.00
2021-12-03 05:15:00,4.30,101.4,90.00,0.00
2021-12-03 05:45:00,5.20,101.5,90.00,0.00
2021-12-03 06:15:00,4.70,101.5,90.00,0.00
2021-12-03 06:45:00,4.30,101.5,90.00,0.00
2021-12-03 07:15:00,4.10,101.5,90.00,0.00
2021-12-03 07:45:00,4.00,101.5,90.00,2.00
2021-12-03 08:15:00,4.10,101.6,90.00,22.00
2021-12-03 08:45:00,4.70,101.6,90.00,27.00
2021-12-03 09:15:00,5.20,101.6,90.00,60.00
2021-12-03 09:45:00,6.30,101.6,90.00,59.00
2021-12-03 10:15:00,7.30,101.6,90.00,108.00
2021-12-03 10:45:00,8.30,101.6,90.00,136.00
2021-12-03 11:15:00,9.10,101.6,80.00,140.00
2021-12-03 11:45:00,9.70,101.6,80.00,165.00
2021-12-03 15:15:00,12.70,101.4,80.00,59.00
2021-12-03 15:45:00,12.50,101.4,80.00,41.00
2021-12-03 16:15:00,12.30,101.5,80.00,24.00
2021-12-03 16:45:00,11.90,101.5,90.00,10.00
2021-12-03 17:15:00,11.70,101.5,90.00,0.00
2021-12-03 17:45:00,11.40,101.5,90.00,0.00
2021-12-03 18:15:00,11.10,101.5,90.00,0.00
2021-12-03 18:45:00,10.90,101.5,90.00,0.00
2021-12-03 19:15:00,10.80,101.4,90.00,0.00
2021-12-03 19:45:00,10.70,101.4,100.00,0.00
2021-12-03 20:15:00,10.70,101.4,100.00,0.00
2021-12-03 20:45:00,10.80,101.4,100.00,0.00
2021-12-03 21:15:00,10.90,101.4,100.00,0.00
2021-12-03 21:45:00,10.90,101.4,100.00,0.00
2021-12-03 22:15:00,10.80,101.4,100.00,0.00
2021-12-03 22:45:00,10.90,101.4,100.00,0.00
2021-12-03 23:15:00,10.90,101.4,100.00,0.00
2021-12-03 23:45:00,11.00,101.4,100.00,0.00
2021-12-04 00:15:00,11.00,101.4,100.00,0.00
2021-12-04 00:45:00,11.00,101.4,100.00,0.00
2021-12-04 01:15:00,11.00,101.3,100.00,0.00
2021-12-04 01:45:00,11.10,101.3,100.00,0.00
2021-12-04 02:15:00,11.10,101.3,100.00,0.00
2021-12-04 02:45:00,11.30,101.3,100.00,0.00
2021-12-04 03:15:00,11.50,101.3,100.00,0.00
2021-12-04 03:45:00,11.60,101.3,100.00,0.00
2021-12-04 04:15:00,11.60,101.2,100.00,0.00
2021-12-04 04:45:00,11.90,101.2,100.00,0.00
2021-12-04 05:15:00,12.00,101.2,100.00,0.00
2021-12-04 05:45:00,12.40,101.2,100.00,0.00
2021-12-04 06:15:00,12.70,101.2,100.00,0.00
2021-12-04 06:45:00,12.90,101.1,100.00,0.00
2021-12-04 07:15:00,13.00,101.1,100.00,0.00
2021-12-04 07:45:00,13.40,101.2,100.00,0.00
2021-12-04 08:15:00,13.90,101.2,100.00,4.00
2021-12-04 08:45:00,14.00,101.2,100.00,18.00
2021-12-04 09:15:00,14.10,101.3,100.00,43.00
2021-12-04 09:45:00,14.00,101.3,100.00,68.00
2021-12-04 10:15:00,13.70,101.3,100.00,74.00
2021-12-04 10:45:00,13.30,101.4,100.00,151.00
2021-12-04 11:15:00,13.90,101.4,100.00,136.00
2021-12-04 11:45:00,14.50,101.4,90.00,42.00
2021-12-04 12:15:00,14.20,101.4,80.00,35.00
2021-12-04 12:45:00,14.30,101.4,80.00,50.00
2021-12-04 13:15:00,14.10,101.3,80.00,365.00
2021-12-04 13:45:00,14.40,101.3,80.00,337.00
2021-12-04 14:15:00,14.70,101.3,80.00,286.00
2021-12-04 14:45:00,14.60,101.3,70.00,58.00
2021-12-04 15:15:00,14.20,101.4,70.00,41.00
2021-12-04 15:45:00,13.60,101.4,70.00,37.00
2021-12-04 16:15:00,13.20,101.4,80.00,30.00
2021-12-04 16:45:00,12.70,101.4,80.00,16.00
2021-12-04 17:15:00,12.20,101.4,80.00,2.00
2021-12-04 17:45:00,11.70,101.5,80.00,0.00
2021-12-04 18:15:00,11.60,101.5,90.00,0.00
2021-12-04 18:45:00,11.70,101.5,90.00,0.00
2021-12-04 19:15:00,11.70,101.5,90.00,0.00
2021-12-04 19:45:00,11.60,101.6,90.00,0.00
2021-12-04 20:15:00,11.50,101.6,90.00,0.00
2021-12-04 20:45:00,11.20,101.6,90.00,0.00
2021-12-04 21:15:00,11.00,101.6,90.00,0.00
2021-12-04 21:45:00,10.50,101.6,90.00,0.00
2021-12-04 22:15:00,10.30,101.6,80.00,0.00
2021-12-04 22:45:00,9.80,101.6,90.00,0.00
2021-12-04 23:15:00,10.10,101.6,90.00,0.00
2021-12-04 23:45:00,10.50,101.6,80.00,0.00
2021-12-05 00:15:00,10.50,101.6,80.00,0.00
2021-12-05 00:45:00,10.20,101.6,80.00,0.00
2021-12-05 01:15:00,10.00,101.6,80.00,0.00
